|post_id|post_text|comment_id|comment_text|author_name|favorite_count|retweet_count
196|1346476061144436738|Fill in the blank: In 2021 I will listen to more ______|1348964818414227458|@Spotify BLACKPINK|pfttt|0|0
197|1346476061144436738|Fill in the blank: In 2021 I will listen to more ______|1348962629931335682|@Spotify Ofc @treasuremembers|•요시 아내♡•|0|0
198|1346476061144436738|Fill in the blank: In 2021 I will listen to more ______|1348959001547923456|"@Spotify TREASURE 💙

#treasure #트레저 
@treasuremembers  

https://t.co/N9HAziXbIs"|𝘀𝗮𝗺|0|0
199|1346476061144436738|Fill in the blank: In 2021 I will listen to more ______|1348958913224445952|@Spotify My Treasure by @treasuremembers|Cha|0|0
200|1346476061144436738|Fill in the blank: In 2021 I will listen to more ______|1348957852136665090|@Spotify @treasuremembers 💖 their songs are masterpiece|💌💍TREASURE IS MY OXYGEN💍💌|0|0
201|1346476061144436738|Fill in the blank: In 2021 I will listen to more ______|1348957798873194496|"@Spotify In 2021, I will listen to more TREASURE songs. Even more than I did last year. 🥰💎

#TREASURE #트레저
@treasuremembers"|Mrs A|1|0
202|1346476061144436738|Fill in the blank: In 2021 I will listen to more ______|1348957773996859395|@Spotify In 2021 I will listen to more @treasuremembers song and playlist 😍 https://t.co/Gr0h7SfDem|Calli_🦊|0|0
203|1346476061144436738|Fill in the blank: In 2021 I will listen to more ______|1348957098437091331|"@Spotify In 2021 I will listen to more TREASURE songs 💖

#TREASURE #트레저
@treasuremembers"|🐼Aiurs Haruharu🦙|0|0
204|1346476061144436738|Fill in the blank: In 2021 I will listen to more ______|1348956493127712768|@Spotify #TREASURE #트레저 @treasuremembers https://t.co/ih9vxdX8HK|Kara L.|2|1
205|1346476061144436738|Fill in the blank: In 2021 I will listen to more ______|1348956234523713542|@Spotify In 2021 I will listen to more on TREASURE songs more than last year😭❤️|HaMbBuUrRgGeeErRrrrR|0|0
206|1346476061144436738|Fill in the blank: In 2021 I will listen to more ______|1348955151642423296|@Spotify In 2021 I will listen to more BANGTAN SONYEONDAN #BTS @BTS_twt 💜💜💜💜💜💜💜|ᴮᴱashi⁷💜 PROUD FAN OF GRAMMY NOMINATED ARTIST💜|0|0
207|1346476061144436738|Fill in the blank: In 2021 I will listen to more ______|1348951553114140675|@Spotify Ads 😂😂|Harsh Solse|0|0
208|1346476061144436738|Fill in the blank: In 2021 I will listen to more ______|1348911753279713282|@Spotify Young stunners|BTS x army|0|0
209|1346476061144436738|Fill in the blank: In 2021 I will listen to more ______|1348911718605467648|@Spotify BTS forever periodt!|BTS x army|0|0
210|1346476061144436738|Fill in the blank: In 2021 I will listen to more ______|1348911495975997440|"@Spotify YOUNG STUNNERS
TALHA ANJUM
TALHA YOUNUS
@BTS_twt"|BTS x army|0|0
211|1346476061144436738|Fill in the blank: In 2021 I will listen to more ______|1348911264353935360|@Spotify @BTS_twt no doubt about it|BTS x army|0|0
